Сайт;Дата запуска;Статус запуска;Топвизор;Срок;Оплата;;Примечения;Где проект;;
;;;;;;;;;;
avtoritm24.ru ;19.06.2023;ЗАПУЩЕН;https://tpv.sr/uhB7ct-uo/;до 25 января ;3750;;;;;
;;;;;;;;;;
shugar-ok.ru ;19.06.2023;ПАУЗА;https://tpv.sr/uhA22m-uX/;до 19 сентября ;5000;;;;;
;;;;;;;;;;
https://1poezd.ru;20.06.2023;ПАУЗА;https://tpv.sr/uhA22o-Ny/;до 20 августа;13.333;Эдик помогает;;;;
;;;;;;;;;;
сетка сайтов от 1 клиента;;;; ;15000;;;;;
https://asfaltobeton-zavod.msk.ru/;20.06.2023;ЗАПУЩЕН;https://tpv.sr/uhA22q-Z1/;до 22 февраля   ;;;;;;
https://centerbeton.msk.ru/;20.06.2023;ЗАПУЩЕН;https://tpv.sr/uhA22p-7C/;до 22 февраля   ;;;;;;
betonevro.ru;21.06.2023;ЗАПУЩЕН;https://tpv.sr/uhA28E-fG/;до 22 февраля   ;;;;;;
;;;;;;;;;;
сетка сайтов от 1 клиента;;;;;;;;;;
https://vip-premium.site/;21.06.2023;ПАУЗА ;https://tpv.sr/uhAOeR-vW/;;;;;;;
playboyspa.ru;;ПАУЗА ;https://tpv.sr/uhA42L-Dl/;;;;;;;
relax102.ru;;ПАУЗА ;https://tpv.sr/uhA42M-4j/;;;;;;;
otelnavolne.ru;15.07.2023;ПАУЗА ;https://tpv.sr/uhA0VJ-hq/;;;;;;;
https://xmassage.vip/;17.07.2023;ПАУЗА ;https://tpv.sr/uhAOeS-gG/;;;;;;;
https://mantra-time.site/;29.07.2023;ПАУЗА ;https://tpv.sr/uhAIiL-BN/;;;;;;;
клуб-энигма.рф;23.08.2023;ПАУЗА ;https://tpv.sr/uhAORm-Zp/;;;;;;;
http://malina59.ru/;23.08.2023;ПАУЗА ;https://tpv.sr/uhAOeX-G7/;;;;;;;
premier-spa78.ru/;27.08.2023;ПАУЗА ;https://tpv.sr/uhAOeU-Zz/;;;;;;;
https://mystery-spb.ru/;29.08.2023;ПАУЗА ;https://tpv.sr/uhAPUi-EJ/;;;;;;;
29 САЙТОВ (ЕДИНЫЙ СПИСОК) ;18.09.2023;ПАУЗА ;;до 18 декабря ;;;;;;
;;;;;;;;;;
https://onhour.ru;21.06.2023;ПАУЗА;https://tpv.sr/uhA23x-nx/;до 21 августа ;10.000 _;;;;;
;;;;;;;;;;
сетка сайтов от 1 клиента;;;;;;;;;;
https://plastelo.ru/;21.06.2023;ПАУЗА;https://tpv.sr/uhALW6-KC/;до 7 октября  ;;;;1 сервер;;
promtex-termo.ru;08.08.2023;ПАУЗА;https://tpv.sr/uhALa9-VI/;;;;;;;
slivkursov.net;08.08.2023;ПАУЗА ;https://tpv.sr/uhB3Ji-hS/;до 23 декабря  ;;;;;;
https://topslivkursov.com;14.08.2023;ПАУЗА;https://tpv.sr/uhAMfo-1v/;до 14 сентября;;;;;;
http://medmiks24.ru ;14.08.2023;ПАУЗА;https://tpv.sr/uhAMgg-aC/;до 14 сентября;;;;;;
msk.stommarket.ru;20.09.2023;ПАУЗА ;https://tpv.sr/uhB3JL-NI/;до 23 декабря  ;;;;;;
okna2-0.ru;;ПАУЗА ;https://tpv.sr/uhAZ0b-1A/;до 6 ноября ;;;;;;
https://okna-sofos.ru;;ПАУЗА;https://tpv.sr/uhAZ0a-i6/;до 13 января  ;;;;;;
https://vodostokstroy.ru;;ПАУЗА;https://tpv.sr/uhAZ0V-Al/;до 13 января  ;;;;;;
https://sofos-okna.ru;;ПАУЗА;https://tpv.sr/uhAZ0T-E0/;до 13 января  ;;;;;;
https://okna-germany.ru;;ПАУЗА ;https://tpv.sr/uhAZ0S-cT/;до 13 января  ;;;;;;
https://sofos.ru;;ПАУЗА;https://tpv.sr/uhAZ0Y-6Z/;до 13 января  ;;;;;;
https://kupioknaszavoda.ru;;ПАУЗА;https://tpv.sr/uhARWm-jU;до 13 января  ;;;;;;
prazdnikspb.com ;;ПАУЗА;https://tpv.sr/uhAZJZ-rS/;до 6 ноября ;;;;;;
;;;;;;;;;;
сетка сайтов от 1 клиента;;;;;;;;;;
kvazar-ufa.com;22.06.2023;ЗАПУЩЕН;https://tpv.sr/uhA2Mc-eA/;до 4 февраля ;;;;;;
oknasokufa.ru;22.06.2023;ЗАПУЩЕН;https://tpv.sr/uhA28r-Wu/;до 4 февраля      ;;;;;;
https://mb-beton.ru/;04.07.2023;ПАУЗА;;;;;;;;
https://potolki-samara.info/;04.07.2023;ЗАПУЩЕН;https://tpv.sr/uhASQa-5J/;до 4 февраля      ;;;;;;
https://impostrade.ru/;04.07.2023;ЗАПУЩЕН;https://tpv.sr/uhASQe-m1/;до 4 февраля      ;;;;;;
https://a-gk.ru/;04.08.2023;ЗАПУЩЕН;https://tpv.sr/uhASQf-TL/;до 4 февраля      ;;;;;;
domstroialyans.ru;04.08.2023;ЗАПУЩЕН;https://tpv.sr/uhASQh-PH/;до 4 февраля      ;;;;4 сервер;;
https://idea-ufa.ru/;15.08.2023;ЗАПУЩЕН;https://tpv.sr/uhAMzp-Qv/;до 17 ноября  ;;;;;;
https://opalubka77.ru/;15.08.2023;ЗАПУЩЕН;https://tpv.sr/uhAN0s-an/;до 17 февраля   ;;;;;;
https://kristall-okna.by/;15.08.2023;ЗАПУЩЕН;https://tpv.sr/uhAN0e-7X/;до 17 февраля   ;;;;;;
https://winwin-cargo.ru;15.08.2023;ЗАПУЩЕН;https://tpv.sr/uhAN1n-FI/;до 17 февраля   ;;;;;;
https://www.gorizontplus.ru/;27.09.2023;ЗАПУЩЕН;https://tpv.sr/uhAWRI-mD/;до 27 января  ;;;;;;
https://spb.ochenkrepko.ru/;27.09.2023;ЗАПУЩЕН;https://tpv.sr/uhAWRM-GI/;до 27 января  ;;;;;;
https://ochenkrepko.ru/;27.09.2023;ЗАПУЩЕН;https://tpv.sr/uhAWRW-7f/;до 27 января  ;;;;;;
https://dirbix.ru/;;ЗАПУЩЕН;https://tpv.sr/uhAqxD-j7/;до 7 января;;;;;;
;;;;;;;;;;
сетка сайтов от 1 клиента;;;;;;;;;;
https://rusinov-seo.ru/;11.09.2023;ЗАПУЩЕН;https://tpv.sr/uhAT73-sP/;;;;;;;
трезвый-водитель1.рф;22.06.2023;ЗАПУЩЕН;https://tpv.sr/uhA2HV-B1/;;5000;;;;;
